v20defThreshold;v22defThreshold;v25defThreshold;Tot;OK;KO;PercentOK;Wilson95Lower;NoAUTot;NoAUOK;NoAUKO;NoAUPercentOK;NoAUWilson95Lower;Months;WorstMonthPercentOK;MonthsBelow70;Rank
62.0;86.0;61.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10334
62.0;86.0;62.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10335
62.0;86.0;63.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10336
62.0;86.0;64.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10337
62.0;86.0;65.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10338
62.0;86.0;66.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10339
62.0;86.0;67.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10340
62.0;86.0;68.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10341
62.0;86.0;69.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10342
62.0;86.0;70.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10343
62.0;86.0;71.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10344
62.0;86.0;72.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10345
62.0;86.0;73.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10346
62.0;86.0;74.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10347
62.0;86.0;75.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10348
62.0;86.0;76.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10349
62.0;86.0;77.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10350
62.0;86.0;78.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10351
62.0;86.0;79.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10352
62.0;86.0;80.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10353
62.0;86.0;81.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10354
62.0;86.0;82.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10355
62.0;86.0;83.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10356
62.0;86.0;84.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10357
62.0;86.0;85.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10358
62.0;86.0;86.0;172;130;42;75.58;68.6481;152;115;37;75.66;68.258;2;66.67;1;10359
62.0;86.0;87.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11679
62.0;86.0;88.0;136;103;33;75.74;67.8881;124;93;31;75.0;66.7051;2;65.71;1;11489
62.0;86.0;89.0;119;90;29;75.63;67.1945;109;81;28;74.31;65.3804;2;64.52;1;12538
62.0;86.0;90.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14984
62.0;87.0;60.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11680
62.0;87.0;61.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11681
62.0;87.0;62.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11682
62.0;87.0;63.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11683
62.0;87.0;64.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11684
62.0;87.0;65.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11685
62.0;87.0;66.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11686
62.0;87.0;67.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11687
62.0;87.0;68.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11688
62.0;87.0;69.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11689
62.0;87.0;70.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11690
62.0;87.0;71.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11691
62.0;87.0;72.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11692
62.0;87.0;73.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11693
62.0;87.0;74.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11694
62.0;87.0;75.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11695
62.0;87.0;76.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11696
62.0;87.0;77.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11697
62.0;87.0;78.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11698
62.0;87.0;79.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11699
62.0;87.0;80.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11700
62.0;87.0;81.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11701
62.0;87.0;82.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11702
62.0;87.0;83.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11703
62.0;87.0;84.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11704
62.0;87.0;85.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11705
62.0;87.0;86.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11706
62.0;87.0;87.0;153;115;38;75.16;67.757;136;102;34;75.0;67.1035;2;65.0;1;11707
62.0;87.0;88.0;136;103;33;75.74;67.8881;124;93;31;75.0;66.7051;2;65.71;1;11490
62.0;87.0;89.0;119;90;29;75.63;67.1945;109;81;28;74.31;65.3804;2;64.52;1;12539
62.0;87.0;90.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14985
62.0;88.0;60.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11795
62.0;88.0;61.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11796
62.0;88.0;62.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11797
62.0;88.0;63.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11798
62.0;88.0;64.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11799
62.0;88.0;65.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11800
62.0;88.0;66.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11801
62.0;88.0;67.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11802
62.0;88.0;68.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11803
62.0;88.0;69.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11804
62.0;88.0;70.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11805
62.0;88.0;71.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11806
62.0;88.0;72.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11807
62.0;88.0;73.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11808
62.0;88.0;74.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11809
62.0;88.0;75.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11810
62.0;88.0;76.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11811
62.0;88.0;77.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11812
62.0;88.0;78.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11813
62.0;88.0;79.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11814
62.0;88.0;80.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11815
62.0;88.0;81.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11816
62.0;88.0;82.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11817
62.0;88.0;83.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11818
62.0;88.0;84.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11819
62.0;88.0;85.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11820
62.0;88.0;86.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11821
62.0;88.0;87.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11822
62.0;88.0;88.0;135;102;33;75.56;67.665;124;93;31;75.0;66.7051;2;64.71;1;11823
62.0;88.0;89.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13077
62.0;88.0;90.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14986
62.0;89.0;60.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13078
62.0;89.0;61.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13079
62.0;89.0;62.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13080
62.0;89.0;63.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13081
62.0;89.0;64.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13082
62.0;89.0;65.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13083
62.0;89.0;66.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13084
62.0;89.0;67.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13085
62.0;89.0;68.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13086
62.0;89.0;69.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13087
62.0;89.0;70.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13088
62.0;89.0;71.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13089
62.0;89.0;72.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13090
62.0;89.0;73.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13091
62.0;89.0;74.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13092
62.0;89.0;75.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13093
62.0;89.0;76.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13094
62.0;89.0;77.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13095
62.0;89.0;78.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13096
62.0;89.0;79.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13097
62.0;89.0;80.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13098
62.0;89.0;81.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13099
62.0;89.0;82.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13100
62.0;89.0;83.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13101
62.0;89.0;84.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13102
62.0;89.0;85.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13103
62.0;89.0;86.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13104
62.0;89.0;87.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13105
62.0;89.0;88.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13106
62.0;89.0;89.0;118;89;29;75.42;66.9353;109;81;28;74.31;65.3804;2;63.33;1;13107
62.0;89.0;90.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14987
62.0;90.0;60.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14988
62.0;90.0;61.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14989
62.0;90.0;62.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14990
62.0;90.0;63.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14991
62.0;90.0;64.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14992
62.0;90.0;65.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14993
62.0;90.0;66.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14994
62.0;90.0;67.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14995
62.0;90.0;68.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14996
62.0;90.0;69.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14997
62.0;90.0;70.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14998
62.0;90.0;71.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14999
62.0;90.0;72.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15000
62.0;90.0;73.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15001
62.0;90.0;74.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15002
62.0;90.0;75.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15003
62.0;90.0;76.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15004
62.0;90.0;77.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15005
62.0;90.0;78.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15006
62.0;90.0;79.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15007
62.0;90.0;80.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15008
62.0;90.0;81.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15009
62.0;90.0;82.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15010
62.0;90.0;83.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15011
62.0;90.0;84.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15012
62.0;90.0;85.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15013
62.0;90.0;86.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15014
62.0;90.0;87.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15015
62.0;90.0;88.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15016
62.0;90.0;89.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15017
62.0;90.0;90.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15018
63.0;60.0;60.0;576;421;155;73.09;69.3242;433;324;109;74.83;70.5326;2;68.64;1;9406
63.0;60.0;61.0;573;418;155;72.95;69.1682;431;322;109;74.71;70.4003;2;68.45;1;9606
63.0;60.0;62.0;570;418;152;73.33;69.5555;429;322;107;75.06;70.7536;2;68.86;1;9101
63.0;60.0;63.0;565;415;150;73.45;69.6605;428;322;106;75.23;70.9317;2;68.9;1;8841
63.0;60.0;64.0;558;410;148;73.48;69.6623;422;318;104;75.36;71.0273;2;68.71;1;8835
63.0;60.0;65.0;552;405;147;73.37;69.5298;420;316;104;75.24;70.8937;2;68.55;1;9111
63.0;60.0;66.0;545;401;144;73.58;69.7204;413;312;101;75.54;71.1764;2;68.55;1;8690
63.0;60.0;67.0;536;395;141;73.69;69.8074;407;308;99;75.68;71.2799;2;69.23;1;8439
63.0;60.0;68.0;531;393;138;74.01;70.1179;405;307;98;75.8;71.4014;2;69.03;1;7723
63.0;60.0;69.0;527;390;137;74.0;70.0948;403;305;98;75.68;71.2641;2;69.03;1;7774
63.0;60.0;70.0;518;385;133;74.32;70.3929;396;301;95;76.01;71.5671;2;70.0;0;7161
63.0;60.0;71.0;505;378;127;74.85;70.8894;386;295;91;76.42;71.9428;2;69.86;1;5399
63.0;60.0;72.0;484;364;120;75.21;71.1711;368;282;86;76.63;72.0452;2;69.93;1;4515
63.0;60.0;73.0;467;351;116;75.16;71.047;355;272;83;76.62;71.9462;2;68.84;1;4949
63.0;60.0;74.0;448;339;109;75.67;71.489;342;263;79;76.9;72.1497;2;68.66;1;3935
63.0;60.0;75.0;430;325;105;75.58;71.306;328;251;77;76.52;71.6466;2;67.72;1;4251
63.0;60.0;76.0;408;310;98;75.98;71.605;315;242;73;76.83;71.8594;2;68.33;1;3681
63.0;60.0;77.0;383;293;90;76.5;72.0048;298;229;69;76.85;71.733;2;69.3;1;2881
63.0;60.0;78.0;361;275;86;76.18;71.5217;285;220;65;77.19;71.9789;2;67.62;1;3868
63.0;60.0;79.0;333;252;81;75.68;70.7916;264;202;62;76.52;71.0439;2;68.0;1;5821
63.0;60.0;80.0;308;235;73;76.3;71.2437;245;187;58;76.33;70.6229;2;69.32;1;4419
63.0;60.0;81.0;283;216;67;76.33;71.0405;231;177;54;76.62;70.7573;2;69.51;1;4965
63.0;60.0;82.0;267;203;64;76.03;70.5631;222;169;53;76.13;70.1039;2;70.13;0;6628
63.0;60.0;83.0;235;179;56;76.17;70.3297;196;150;46;76.53;70.1225;2;71.43;0;7291
63.0;60.0;84.0;209;157;52;75.12;68.8405;178;134;44;75.28;68.4541;2;70.18;0;10048
63.0;60.0;85.0;186;140;46;75.27;68.5987;162;123;39;75.93;68.7907;2;69.23;1;10409
63.0;60.0;86.0;171;129;42;75.44;68.4747;151;114;37;75.5;68.06;2;67.39;1;10594
63.0;60.0;87.0;151;113;38;74.83;67.3551;134;100;34;74.63;66.6438;2;65.0;1;12157
63.0;60.0;88.0;135;102;33;75.56;67.665;123;92;31;74.8;66.4525;2;65.71;1;11824
63.0;60.0;89.0;118;89;29;75.42;66.9353;108;80;28;74.07;65.0833;2;64.52;1;13108
63.0;60.0;90.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15019
63.0;61.0;60.0;573;418;155;72.95;69.1682;431;322;109;74.71;70.4003;2;68.45;1;9607
63.0;61.0;61.0;573;418;155;72.95;69.1682;431;322;109;74.71;70.4003;2;68.45;1;9608
63.0;61.0;62.0;570;418;152;73.33;69.5555;429;322;107;75.06;70.7536;2;68.86;1;9102
63.0;61.0;63.0;565;415;150;73.45;69.6605;428;322;106;75.23;70.9317;2;68.9;1;8842
63.0;61.0;64.0;558;410;148;73.48;69.6623;422;318;104;75.36;71.0273;2;68.71;1;8836
63.0;61.0;65.0;552;405;147;73.37;69.5298;420;316;104;75.24;70.8937;2;68.55;1;9112
63.0;61.0;66.0;545;401;144;73.58;69.7204;413;312;101;75.54;71.1764;2;68.55;1;8691
63.0;61.0;67.0;536;395;141;73.69;69.8074;407;308;99;75.68;71.2799;2;69.23;1;8440
63.0;61.0;68.0;531;393;138;74.01;70.1179;405;307;98;75.8;71.4014;2;69.03;1;7724
63.0;61.0;69.0;527;390;137;74.0;70.0948;403;305;98;75.68;71.2641;2;69.03;1;7775
63.0;61.0;70.0;518;385;133;74.32;70.3929;396;301;95;76.01;71.5671;2;70.0;0;7162
63.0;61.0;71.0;505;378;127;74.85;70.8894;386;295;91;76.42;71.9428;2;69.86;1;5400
63.0;61.0;72.0;484;364;120;75.21;71.1711;368;282;86;76.63;72.0452;2;69.93;1;4516
63.0;61.0;73.0;467;351;116;75.16;71.047;355;272;83;76.62;71.9462;2;68.84;1;4950
63.0;61.0;74.0;448;339;109;75.67;71.489;342;263;79;76.9;72.1497;2;68.66;1;3936
63.0;61.0;75.0;430;325;105;75.58;71.306;328;251;77;76.52;71.6466;2;67.72;1;4252
63.0;61.0;76.0;408;310;98;75.98;71.605;315;242;73;76.83;71.8594;2;68.33;1;3682
63.0;61.0;77.0;383;293;90;76.5;72.0048;298;229;69;76.85;71.733;2;69.3;1;2882
63.0;61.0;78.0;361;275;86;76.18;71.5217;285;220;65;77.19;71.9789;2;67.62;1;3869
63.0;61.0;79.0;333;252;81;75.68;70.7916;264;202;62;76.52;71.0439;2;68.0;1;5822
63.0;61.0;80.0;308;235;73;76.3;71.2437;245;187;58;76.33;70.6229;2;69.32;1;4420
63.0;61.0;81.0;283;216;67;76.33;71.0405;231;177;54;76.62;70.7573;2;69.51;1;4966
63.0;61.0;82.0;267;203;64;76.03;70.5631;222;169;53;76.13;70.1039;2;70.13;0;6629
63.0;61.0;83.0;235;179;56;76.17;70.3297;196;150;46;76.53;70.1225;2;71.43;0;7292
63.0;61.0;84.0;209;157;52;75.12;68.8405;178;134;44;75.28;68.4541;2;70.18;0;10049
63.0;61.0;85.0;186;140;46;75.27;68.5987;162;123;39;75.93;68.7907;2;69.23;1;10410
63.0;61.0;86.0;171;129;42;75.44;68.4747;151;114;37;75.5;68.06;2;67.39;1;10595
63.0;61.0;87.0;151;113;38;74.83;67.3551;134;100;34;74.63;66.6438;2;65.0;1;12158
63.0;61.0;88.0;135;102;33;75.56;67.665;123;92;31;74.8;66.4525;2;65.71;1;11825
63.0;61.0;89.0;118;89;29;75.42;66.9353;108;80;28;74.07;65.0833;2;64.52;1;13109
63.0;61.0;90.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15020
63.0;62.0;60.0;570;418;152;73.33;69.5555;429;322;107;75.06;70.7536;2;68.86;1;9103
63.0;62.0;61.0;570;418;152;73.33;69.5555;429;322;107;75.06;70.7536;2;68.86;1;9104
63.0;62.0;62.0;570;418;152;73.33;69.5555;429;322;107;75.06;70.7536;2;68.86;1;9105
63.0;62.0;63.0;565;415;150;73.45;69.6605;428;322;106;75.23;70.9317;2;68.9;1;8843
63.0;62.0;64.0;558;410;148;73.48;69.6623;422;318;104;75.36;71.0273;2;68.71;1;8837
63.0;62.0;65.0;552;405;147;73.37;69.5298;420;316;104;75.24;70.8937;2;68.55;1;9113
63.0;62.0;66.0;545;401;144;73.58;69.7204;413;312;101;75.54;71.1764;2;68.55;1;8692
63.0;62.0;67.0;536;395;141;73.69;69.8074;407;308;99;75.68;71.2799;2;69.23;1;8441
63.0;62.0;68.0;531;393;138;74.01;70.1179;405;307;98;75.8;71.4014;2;69.03;1;7725
63.0;62.0;69.0;527;390;137;74.0;70.0948;403;305;98;75.68;71.2641;2;69.03;1;7776
63.0;62.0;70.0;518;385;133;74.32;70.3929;396;301;95;76.01;71.5671;2;70.0;0;7163
63.0;62.0;71.0;505;378;127;74.85;70.8894;386;295;91;76.42;71.9428;2;69.86;1;5401
63.0;62.0;72.0;484;364;120;75.21;71.1711;368;282;86;76.63;72.0452;2;69.93;1;4517
63.0;62.0;73.0;467;351;116;75.16;71.047;355;272;83;76.62;71.9462;2;68.84;1;4951
63.0;62.0;74.0;448;339;109;75.67;71.489;342;263;79;76.9;72.1497;2;68.66;1;3937
63.0;62.0;75.0;430;325;105;75.58;71.306;328;251;77;76.52;71.6466;2;67.72;1;4253
63.0;62.0;76.0;408;310;98;75.98;71.605;315;242;73;76.83;71.8594;2;68.33;1;3683
63.0;62.0;77.0;383;293;90;76.5;72.0048;298;229;69;76.85;71.733;2;69.3;1;2883
63.0;62.0;78.0;361;275;86;76.18;71.5217;285;220;65;77.19;71.9789;2;67.62;1;3870
63.0;62.0;79.0;333;252;81;75.68;70.7916;264;202;62;76.52;71.0439;2;68.0;1;5823
63.0;62.0;80.0;308;235;73;76.3;71.2437;245;187;58;76.33;70.6229;2;69.32;1;4421
63.0;62.0;81.0;283;216;67;76.33;71.0405;231;177;54;76.62;70.7573;2;69.51;1;4967
63.0;62.0;82.0;267;203;64;76.03;70.5631;222;169;53;76.13;70.1039;2;70.13;0;6630
63.0;62.0;83.0;235;179;56;76.17;70.3297;196;150;46;76.53;70.1225;2;71.43;0;7293
63.0;62.0;84.0;209;157;52;75.12;68.8405;178;134;44;75.28;68.4541;2;70.18;0;10050
63.0;62.0;85.0;186;140;46;75.27;68.5987;162;123;39;75.93;68.7907;2;69.23;1;10411
63.0;62.0;86.0;171;129;42;75.44;68.4747;151;114;37;75.5;68.06;2;67.39;1;10596
63.0;62.0;87.0;151;113;38;74.83;67.3551;134;100;34;74.63;66.6438;2;65.0;1;12159
63.0;62.0;88.0;135;102;33;75.56;67.665;123;92;31;74.8;66.4525;2;65.71;1;11826
63.0;62.0;89.0;118;89;29;75.42;66.9353;108;80;28;74.07;65.0833;2;64.52;1;13110
63.0;62.0;90.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;15021
63.0;63.0;60.0;566;415;151;73.32;69.5295;429;322;107;75.06;70.7536;2;68.48;1;9120
63.0;63.0;61.0;566;415;151;73.32;69.5295;429;322;107;75.06;70.7536;2;68.48;1;9121
63.0;63.0;62.0;566;415;151;73.32;69.5295;429;322;107;75.06;70.7536;2;68.48;1;9122
63.0;63.0;63.0;565;415;150;73.45;69.6605;428;322;106;75.23;70.9317;2;68.9;1;8844
63.0;63.0;64.0;558;410;148;73.48;69.6623;422;318;104;75.36;71.0273;2;68.71;1;8838
63.0;63.0;65.0;552;405;147;73.37;69.5298;420;316;104;75.24;70.8937;2;68.55;1;9114
63.0;63.0;66.0;545;401;144;73.58;69.7204;413;312;101;75.54;71.1764;2;68.55;1;8693
63.0;63.0;67.0;536;395;141;73.69;69.8074;407;308;99;75.68;71.2799;2;69.23;1;8442
63.0;63.0;68.0;531;393;138;74.01;70.1179;405;307;98;75.8;71.4014;2;69.03;1;7726
63.0;63.0;69.0;527;390;137;74.0;70.0948;403;305;98;75.68;71.2641;2;69.03;1;7777
63.0;63.0;70.0;518;385;133;74.32;70.3929;396;301;95;76.01;71.5671;2;70.0;0;7164
63.0;63.0;71.0;505;378;127;74.85;70.8894;386;295;91;76.42;71.9428;2;69.86;1;5402
63.0;63.0;72.0;484;364;120;75.21;71.1711;368;282;86;76.63;72.0452;2;69.93;1;4518
63.0;63.0;73.0;467;351;116;75.16;71.047;355;272;83;76.62;71.9462;2;68.84;1;4952
63.0;63.0;74.0;448;339;109;75.67;71.489;342;263;79;76.9;72.1497;2;68.66;1;3938
63.0;63.0;75.0;430;325;105;75.58;71.306;328;251;77;76.52;71.6466;2;67.72;1;4254
63.0;63.0;76.0;408;310;98;75.98;71.605;315;242;73;76.83;71.8594;2;68.33;1;3684
63.0;63.0;77.0;383;293;90;76.5;72.0048;298;229;69;76.85;71.733;2;69.3;1;2884
